"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-9.657084011E-4,-4.184362538E-1,-3.497140744E-1,-2.551290463E0
9.063291829E-3,-5.866742429E-1,-3.866445038E-1,-2.871544803E0
1.909229159E-2,-6.799078041E-1,-9.733275175E-2,-2.695089283E0
2.912129182E-2,-5.515982580E-1,1.946991250E-1,-2.091405782E0
3.915029159E-2,-2.932568684E-1,3.470918906E-1,-1.203256409E0
4.917929182E-2,2.693212911E-2,4.723006582E-1,-3.612941927E-1
5.920829158E-2,4.755055171E-1,7.210230857E-1,8.607276857E-2
6.923729181E-2,8.769278352E-1,1.007622607E0,2.210440475E-1
7.926629158E-2,9.814661108E-1,1.172890356E0,1.255993617E-1
8.929629158E-2,7.246205851E-1,1.232317363E0,6.475732863E-2
9.932554187E-2,3.370415501E-1,1.323125207E0,1.577111006E-1
1.093545416E-1,1.796336277E-1,1.403905368E0,2.746443039E-1
1.193835419E-1,2.567132324E-2,1.499210306E0,5.898530817E-1
1.294125416E-1,-8.819063008E-2,1.670477591E0,8.545547801E-1
1.394415419E-1,-4.071927890E-3,1.782158533E0,1.187857767E0
1.494705416E-1,2.738308831E-1,1.791528696E0,1.632436776E0
1.594995419E-1,4.504272477E-1,1.702748667E0,2.244316903E0
1.695285416E-1,5.502574915E-1,1.592165832E0,2.878462059E0
1.795575419E-1,4.678382094E-1,1.327210949E0,3.347858990E0
1.895865416E-1,4.201984584E-2,1.167449522E0,3.671051556E0
1.996155418E-1,-2.720702134E-1,1.169888981E0,3.905943564E0
2.096455419E-1,-3.876841387E-1,1.098822799E0,3.968233953E0
2.196745416E-1,-4.660540047E-1,7.955826867E-1,3.926780117E0
2.297035418E-1,-5.241927237E-1,2.546971124E-1,3.724499785E0
2.397325416E-1,-6.494016375E-1,-4.086829519E-1,3.483204491E0
2.497615418E-1,-9.447193571E-1,-9.250716162E-1,3.364545774E0
2.597905416E-1,-1.109774414E0,-1.136135344E0,3.076901940E0
2.698195418E-1,-1.104399215E0,-1.249453214E0,2.448219838E0
2.798485416E-1,-1.145060168E0,-1.274750023E0,1.600159560E0
2.898775418E-1,-1.142189551E0,-1.167087580E0,9.699735546E-1
2.999065416E-1,-1.134866059E0,-1.140376621E0,7.116330421E-1
3.099355418E-1,-1.227291389E0,-1.149968394E0,7.012337691E-1
3.199655418E-1,-1.325837000E0,-1.062016038E0,8.196498263E-1
